,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
4/4/2018,'000012,国债指数,163.1851,163.1858,163.1508,163.1614,163.1457,0.0394,0.0242,165391,160441494
4/3/2018,'000012,国债指数,163.1457,163.1782,163.0876,163.0892,163.0734,0.0723,0.0443,154785,151212807
4/2/2018,'000012,国债指数,163.0734,163.0736,163.0012,163.0102,162.9632,0.1102,0.0676,118020,116011247
3/30/2018,'000012,国债指数,162.9632,162.9638,162.8968,162.905,162.8894,0.0738,0.0453,120864,119340098
3/29/2018,'000012,国债指数,162.8894,162.8934,162.879,162.8867,162.8709,0.0185,0.0114,80073,78480771
3/28/2018,'000012,国债指数,162.8709,162.8878,162.8106,162.8216,162.806,0.0649,0.0399,209855,206427602
3/27/2018,'000012,国债指数,162.806,162.8364,162.731,162.8349,162.8204,-0.0144,-0.0088,93653,89551594
3/26/2018,'000012,国债指数,162.8204,162.8376,162.778,162.8167,162.7649,0.0555,0.0341,126442,121314644
3/23/2018,'000012,国债指数,162.7649,162.7677,162.6363,162.6363,162.6156,0.1493,0.0918,207692,196190675
3/22/2018,'000012,国债指数,162.6156,162.6178,162.5776,162.5867,162.5712,0.0444,0.0273,123768,117378150
3/21/2018,'000012,国债指数,162.5712,162.5754,162.5136,162.5318,162.516,0.0552,0.034,114344,107958661
3/20/2018,'000012,国债指数,162.516,162.5165,162.4548,162.457,162.4413,0.0747,0.046,67813,63821813
3/19/2018,'000012,国债指数,162.4413,162.4573,162.403,162.433,162.3861,0.0552,0.034,62630,58845914
3/16/2018,'000012,国债指数,162.3861,162.3903,162.3616,162.3773,162.3617,0.0244,0.015,84621,82795550
3/15/2018,'000012,国债指数,162.3617,162.3723,162.3591,162.3662,162.3506,0.0111,0.0068,147776,150725263
3/14/2018,'000012,国债指数,162.3506,162.3729,162.3305,162.3729,162.3573,-0.0067,-0.0041,155945,152309882
3/13/2018,'000012,国债指数,162.3573,162.3618,162.3426,162.3618,162.3461,0.0112,0.0069,177244,174354382
3/12/2018,'000012,国债指数,162.3461,162.3632,162.3311,162.3492,162.3026,0.0435,0.0268,147089,145610908
3/9/2018,'000012,国债指数,162.3026,162.3117,162.2788,162.2999,162.2842,0.0184,0.0113,102363,98824922
3/8/2018,'000012,国债指数,162.2842,162.2854,162.2144,162.2307,162.2149,0.0693,0.0427,126173,122905668
3/7/2018,'000012,国债指数,162.2149,162.2326,162.1965,162.2237,162.2081,0.0068,0.0042,120192,116815180
3/6/2018,'000012,国债指数,162.2081,162.2085,162.1415,162.145,162.127,0.0811,0.05,86108,81143107
3/5/2018,'000012,国债指数,162.127,162.174,162.0939,162.1697,162.1233,0.0037,0.0023,168090,161587947
3/2/2018,'000012,国债指数,162.1233,162.1351,162.1163,162.1182,162.1025,0.0208,0.0128,152731,150222707
3/1/2018,'000012,国债指数,162.1025,162.1187,162.0615,162.0621,162.0467,0.0558,0.0344,146374,144110843
2/28/2018,'000012,国债指数,162.0467,162.0495,161.9591,161.9684,161.9537,0.093,0.0574,163250,159485292
2/27/2018,'000012,国债指数,161.9537,161.9555,161.8453,161.8461,161.8315,0.1222,0.0755,270382,265132489
2/26/2018,'000012,国债指数,161.8315,161.8345,161.7672,161.7693,161.7215,0.11,0.068,89732,84516891
2/23/2018,'000012,国债指数,161.7215,161.7215,161.6567,161.6617,161.6459,0.0756,0.0468,55923,52351457
2/22/2018,'000012,国债指数,161.6459,161.6637,161.6232,161.6416,161.5177,0.1282,0.0794,96028,90542114
2/14/2018,'000012,国债指数,161.5177,161.5183,161.483,161.4865,161.4709,0.0468,0.029,59275,55859584
2/13/2018,'000012,国债指数,161.4709,161.4892,161.4463,161.4494,161.4338,0.0371,0.023,94112,90798171
2/12/2018,'000012,国债指数,161.4338,161.4529,161.4242,161.4296,161.3842,0.0496,0.0307,158286,152796675
2/9/2018,'000012,国债指数,161.3842,161.3865,161.3473,161.3761,161.3605,0.0237,0.0147,280427,265788955
2/8/2018,'000012,国债指数,161.3605,161.3676,161.3272,161.3676,161.352,0.0085,0.0053,173070,169357388
2/7/2018,'000012,国债指数,161.352,161.3557,161.3434,161.3551,161.3396,0.0124,0.0077,72786,68908636
2/6/2018,'000012,国债指数,161.3396,161.367,161.3311,161.3352,161.3197,0.0199,0.0123,238099,226528934
2/5/2018,'000012,国债指数,161.3197,161.3754,161.3038,161.3385,161.2919,0.0278,0.0172,119934,114817515
2/2/2018,'000012,国债指数,161.2919,161.2928,161.259,161.2856,161.2696,0.0223,0.0138,75950,70491397
2/1/2018,'000012,国债指数,161.2696,161.2912,161.2602,161.2888,161.2732,-0.0036,-0.0022,137585,129075667
1/31/2018,'000012,国债指数,161.2732,161.2842,161.2449,161.2814,161.2659,0.0073,0.0045,172772,166569829
1/30/2018,'000012,国债指数,161.2659,161.2686,161.252,161.2583,161.2428,0.0231,0.0143,143572,133068665
1/29/2018,'000012,国债指数,161.2428,161.3025,161.2428,161.2832,161.2366,0.0062,0.0038,111743,106377606
1/26/2018,'000012,国债指数,161.2366,161.2367,161.204,161.2097,161.1941,0.0425,0.0264,120971,115727302
1/25/2018,'000012,国债指数,161.1941,161.198,161.1653,161.1935,161.1779,0.0162,0.0101,103613,97933495
1/24/2018,'000012,国债指数,161.1779,161.1791,161.138,161.1546,161.1391,0.0388,0.0241,87241,83891042
1/23/2018,'000012,国债指数,161.1391,161.1415,161.125,161.1301,161.1145,0.0246,0.0153,78644,75810457
1/22/2018,'000012,国债指数,161.1145,161.1281,161.0657,161.1261,161.0797,0.0348,0.0216,97839,96001795
1/19/2018,'000012,国债指数,161.0797,161.1024,161.0762,161.1024,161.0869,-0.0072,-0.0045,97354,95871358
1/18/2018,'000012,国债指数,161.0869,161.106,161.0786,161.0842,161.0687,0.0182,0.0113,71477,68972502
1/17/2018,'000012,国债指数,161.0687,161.0744,161.0572,161.0724,161.0569,0.0118,0.0073,92351,89815760
1/16/2018,'000012,国债指数,161.0569,161.0617,161.0436,161.0594,161.0439,0.013,0.0081,51963,49206656
1/15/2018,'000012,国债指数,161.0439,161.0781,161.0365,161.0781,161.0318,0.0121,0.0075,109574,104698102
1/12/2018,'000012,国债指数,161.0318,161.1103,161.0219,161.1075,161.092,-0.0602,-0.0374,58168,55856006
1/11/2018,'000012,国债指数,161.092,161.1377,161.089,161.1375,161.122,-0.03,-0.0186,187787,179444282
1/10/2018,'000012,国债指数,161.122,161.1267,161.0991,161.1104,161.0949,0.0271,0.0168,142348,137103478
1/9/2018,'000012,国债指数,161.0949,161.1158,161.068,161.1063,161.0908,0.0041,0.0025,212891,208104565
1/8/2018,'000012,国债指数,161.0908,161.0914,161.0341,161.0341,160.9877,0.1031,0.064,193120,189609641
1/5/2018,'000012,国债指数,160.9877,160.9941,160.9241,160.9241,160.9138,0.0739,0.0459,113878,103991639
1/4/2018,'000012,国债指数,160.9138,160.9597,160.8904,160.953,160.9375,-0.0237,-0.0147,242537,236056988
1/3/2018,'000012,国债指数,160.9375,160.9852,160.936,160.9852,160.9699,-0.0324,-0.0201,238662,231830279
1/2/2018,'000012,国债指数,160.9699,160.9761,160.9108,160.9108,160.8481,0.1218,0.0757,267056,253604422
12/29/2017,'000012,国债指数,160.8481,160.948,160.8302,160.8825,160.865,-0.0169,-0.0105,225826,193086607
12/28/2017,'000012,国债指数,160.865,160.9369,160.8551,160.9175,160.9023,-0.0373,-0.0232,190723,181261353
12/27/2017,'000012,国债指数,160.9023,160.9885,160.891,160.9786,160.9643,-0.062,-0.0385,88893,83437930
12/26/2017,'000012,国债指数,160.9643,160.9894,160.9448,160.9508,160.9354,0.0289,0.018,138541,132238819
