,month,cpi
0,2018.2,102.9
1,2018.1,101.47
2,2017.12,101.85
3,2017.11,101.73
4,2017.10,101.87
5,2017.9,101.6
6,2017.8,101.77
7,2017.7,101.4
8,2017.6,101.64
9,2017.5,101.52
10,2017.4,101.17
11,2017.3,100.92
12,2017.2,102.39
13,2017.1,102.55
14,2016.12,103.04
15,2016.11,102.25
16,2016.10,102.1
17,2016.9,101.9
18,2016.8,101.34
19,2016.7,101.77
20,2016.6,101.88
21,2016.5,102.04
22,2016.4,102.33
23,2016.3,102.3
24,2016.2,102.28
25,2016.1,101.75
26,2015.12,102.3
27,2015.11,102.4
28,2015.10,102.4
29,2015.9,102.2
30,2015.8,102.8
31,2015.7,101.65
32,2015.6,101.39
33,2015.5,101.23
34,2015.4,101.51
35,2015.3,101.38
36,2015.2,101.43
37,2015.1,100.76
38,2014.12,101.51
39,2014.11,101.44
40,2014.10,101.6
41,2014.9,101.63
42,2014.8,101.99
43,2014.7,102.29
44,2014.6,102.34
45,2014.5,102.48
46,2014.4,101.8
47,2014.3,102.38
48,2014.2,101.95
49,2014.1,102.49
50,2013.12,102.5
51,2013.11,103.02
52,2013.10,103.21
53,2013.9,103.05
54,2013.8,102.57
55,2013.7,102.67
56,2013.6,102.67
57,2013.5,102.1
58,2013.4,102.39
59,2013.3,102.07
60,2013.2,103.22
61,2013.1,102.03
62,2012.12,102.52
63,2012.11,102.04
64,2012.10,101.72
65,2012.9,101.91
66,2012.8,102.05
67,2012.7,101.78
68,2012.6,102.15
69,2012.5,103.0
70,2012.4,103.37
71,2012.3,103.59
72,2012.2,103.16
73,2012.1,104.55
74,2011.12,104.1
75,2011.11,104.2
76,2011.10,105.5
77,2011.9,106.1
78,2011.8,106.2
79,2011.7,106.5
80,2011.6,106.4
81,2011.5,105.5
82,2011.4,105.3
83,2011.3,105.4
84,2011.2,104.9
85,2011.1,104.9
86,2010.12,104.6
87,2010.11,105.1
88,2010.10,104.4
89,2010.9,103.6
90,2010.8,103.5
91,2010.7,103.3
92,2010.6,102.9
93,2010.5,103.1
94,2010.4,102.8
95,2010.3,102.4
96,2010.2,102.7
97,2010.1,101.5
98,2009.12,101.9
99,2009.11,100.6
100,2009.10,99.5
101,2009.9,99.2
102,2009.8,98.8
103,2009.7,98.2
104,2009.6,98.3
105,2009.5,98.6
106,2009.4,98.5
107,2009.3,98.8
108,2009.2,98.4
109,2009.1,101.0
110,2008.12,101.2
111,2008.11,102.4
112,2008.10,104.0
113,2008.9,104.6
114,2008.8,104.9
115,2008.7,106.3
116,2008.6,107.1
117,2008.5,107.7
118,2008.4,108.5
119,2008.3,108.3
120,2008.2,108.7
121,2008.1,107.1
122,2007.12,106.5
123,2007.11,106.9
124,2007.10,106.5
125,2007.9,106.2
126,2007.8,106.5
127,2007.7,105.6
128,2007.6,104.4
129,2007.5,103.4
130,2007.4,103.0
131,2007.3,103.3
132,2007.2,102.7
133,2007.1,102.2
134,2006.12,102.8
135,2006.11,101.9
136,2006.10,101.4
137,2006.9,101.5
138,2006.8,101.3
139,2006.7,101.0
140,2006.6,101.5
141,2006.5,101.4
142,2006.4,101.2
143,2006.3,100.8
144,2006.2,100.9
145,2006.1,101.9
146,2005.12,101.6
147,2005.11,101.3
148,2005.10,101.2
149,2005.9,100.9
150,2005.8,101.3
151,2005.7,101.8
152,2005.6,101.6
153,2005.5,101.8
154,2005.4,101.8
155,2005.3,102.7
156,2005.2,103.9
157,2005.1,101.9
158,2004.12,102.4
159,2004.11,102.8
160,2004.10,104.3
161,2004.9,105.2
162,2004.8,105.3
163,2004.7,105.3
164,2004.6,105.0
165,2004.5,104.4
166,2004.4,103.8
167,2004.3,103.0
168,2004.2,102.1
169,2004.1,103.2
170,2003.12,103.2
171,2003.11,103.0
172,2003.10,101.8
173,2003.9,101.1
174,2003.8,100.9
175,2003.7,100.5
176,2003.6,100.3
177,2003.5,100.7
178,2003.4,101.0
179,2003.3,100.9
180,2003.2,100.2
181,2003.1,100.4
182,2002.12,99.6
183,2002.11,99.3
184,2002.10,99.2
185,2002.9,99.3
186,2002.8,99.3
187,2002.7,99.1
188,2002.6,99.2
189,2002.5,98.9
190,2002.4,98.7
191,2002.3,99.2
192,2002.2,100.0
193,2002.1,99.0
194,2001.12,99.7
195,2001.11,99.7
196,2001.10,100.2
197,2001.9,99.9
198,2001.8,101.0
199,2001.7,101.5
200,2001.6,101.4
201,2001.5,101.7
202,2001.4,101.6
203,2001.3,100.8
204,2001.2,100.0
205,2001.1,101.2
206,2000.12,101.5
207,2000.11,101.3
208,2000.10,100.0
209,2000.9,100.0
210,2000.8,100.3
211,2000.7,100.5
212,2000.6,100.5
213,2000.5,100.1
214,2000.4,99.7
215,2000.3,99.8
216,2000.2,100.7
217,2000.1,99.8
218,1999.12,99.0
219,1999.11,99.1
220,1999.10,99.4
221,1999.9,99.2
222,1999.8,98.7
223,1999.7,98.6
224,1999.6,97.9
225,1999.5,97.8
226,1999.4,97.8
227,1999.3,98.2
228,1999.2,98.7
229,1999.1,98.8
230,1998.12,99.0
231,1998.11,98.8
232,1998.10,98.9
233,1998.9,98.5
234,1998.8,98.6
235,1998.7,98.6
236,1998.6,98.7
237,1998.5,99.0
238,1998.4,99.7
239,1998.3,100.7
240,1998.2,99.9
241,1998.1,100.3
242,1997.12,100.4
243,1997.11,101.1
244,1997.10,101.5
245,1997.9,101.8
246,1997.8,101.9
247,1997.7,102.7
248,1997.6,102.8
249,1997.5,102.8
250,1997.4,103.2
251,1997.3,104.0
252,1997.2,105.6
253,1997.1,105.9
254,1996.12,107.0
255,1996.11,106.9
256,1996.10,107.0
257,1996.9,107.4
258,1996.8,108.1
259,1996.7,108.3
260,1996.6,108.6
261,1996.5,108.9
262,1996.4,109.7
263,1996.3,109.8
264,1996.2,109.3
265,1996.1,109.0
266,1995.12,110.1
267,1995.11,111.2
268,1995.10,112.1
269,1995.9,113.2
270,1995.8,114.5
271,1995.7,116.7
272,1995.6,118.2
273,1995.5,120.3
274,1995.4,120.7
275,1995.3,121.3
276,1995.2,122.4
277,1995.1,124.1
278,1994.12,125.5
279,1994.11,127.5
280,1994.10,127.7
281,1994.9,127.3
282,1994.8,125.8
283,1994.7,124.0
284,1994.6,122.6
285,1994.5,121.3
286,1994.4,121.7
287,1994.3,122.4
288,1994.2,123.2
289,1994.1,121.1
290,1993.12,118.8
291,1993.11,116.7
292,1993.10,115.9
293,1993.9,115.7
294,1993.8,116.0
295,1993.7,116.2
296,1993.6,115.1
297,1993.5,114.0
298,1993.4,112.6
299,1993.3,112.2
300,1993.2,110.5
301,1993.1,110.3
302,1992.12,108.8
303,1992.11,108.2
304,1992.10,107.9
305,1992.9,107.5
306,1992.8,105.8
